No,Area,Nyear,Constr,Form,Lifts,Aircondition,Families,Y07SUM,Y08SUM
1,1399.654458,15,混砖结构,坡屋顶,0,47,18,56228,60461
2,1976.786226,25,混砖结构,坡屋顶,0,,38,36359,39328
3,1475.435802,24,混砖结构,坡屋顶,0,20,24,43829,42805
4,1817.778603,28,混砖结构,平屋顶,0,,33,71710,73245
5,2661.640675,25,混砖结构,坡屋顶,0,,48,29210,26669
6,1984.70577,25,混砖结构,坡屋顶,0,78,42,47562,46572
7,2175.968165,28,混砖结构,平屋顶,0,,30,102799,95661
8,185.02568,108,混砖结构,坡屋顶,0,3,8,9447,10667
9,417.905828,108,混砖结构,坡屋顶,0,5,10,3169,2581
10,1098.174375,23,混砖结构,平屋顶,0,0,24,108455,106643
11,1806.863924,15,混砖结构,坡屋顶,0,,25,31397,30178
12,484.1464552,108,混砖结构,坡屋顶,0,1,6,9210,9443
13,269.4369041,108,混砖结构,坡屋顶,0,1,1,1640,170
14,135.3730535,108,混砖结构,坡屋顶,0,2,4,1402,3021
15,1506.459036,12,混砖结构,坡屋顶,0,2,24,38624,38505
16,3156.220066,13,混砖结构,坡屋顶,0,3,8,43441,39424
17,3851.060907,8,混砖结构,平屋顶,0,123,112,144460,168017
18,1417.322955,10,混砖结构,平屋顶,0,72,48,52046,63372
19,131.688506,108,混砖结构,坡屋顶,0,4,15,16049,13303
20,2038.801495,10,混砖结构,平屋顶,0,48,35,92026,104190
21,3473.23447,10,混砖结构,平屋顶,0,89,72,88513,94695
22,2726.558966,28,混砖结构,坡屋顶,0,,40,111821,116952
23,2237.777481,10,混砖结构,坡屋顶,0,97,90,109329,129120
24,4245.69144,15,混砖结构,异型屋顶,0,105,112,164415,165693
25,4342.431629,15,混砖结构,异型屋顶,0,133,112,171621,168442
26,2785.083441,28,混砖结构,坡屋顶,0,,36,56753,70191
27,922.1395778,28,混砖结构,坡屋顶,0,32,10,14130,15492
28,1405.955673,28,混砖结构,坡屋顶,0,,28,70503,68084
29,1297.659568,15,混砖结构,坡屋顶,0,,32,54920,46730
30,4329.071586,8,混砖结构,异型屋顶,0,62,56,77616,77717
31,3686.227879,28,混砖结构,坡屋顶,0,73,40,88980,84328
32,2804.07739,15,混砖结构,坡屋顶,0,,50,99156,107754
33,2586.690195,15,混砖结构,坡屋顶,0,,50,87990,97710
34,2211.379451,15,混砖结构,坡屋顶,0,,51,8367,7565
35,2065.456301,28,混砖结构,坡屋顶,0,,84,96531,100563
36,1984.314474,28,混砖结构,坡屋顶,0,,30,46247,53143
37,2324.425274,18,混砖结构,平屋顶,0,25,72,37261,52096
38,1035.906722,108,混砖结构,坡屋顶,0,2,7,15363,15604
39,7722.966098,48,混砖结构,坡屋顶,0,,24,32969,38165
40,1951.971602,10,混砖结构,平屋顶,0,,31,99494,102733
41,1140.342682,4,混砖结构,平屋顶,0,45,28,37158,39197
42,3888.950636,4,混砖结构,平屋顶,0,98,51,74070,76353
43,3068.165699,8,混砖结构,坡屋顶,0,124,120,144674,141911
44,3139.736786,18,混砖结构,平屋顶,0,89,89,123441,125675
45,3550.25913,18,混砖结构,平屋顶,0,98,98,123773,134879
46,2434.615616,3,混砖结构,平屋顶,0,98,56,101370,104838
47,2482.654665,3,混砖结构,平屋顶,0,102,56,106372,108607
48,2640.647385,3,混砖结构,平屋顶,0,88,42,91223,89403
49,3841.237064,3,混砖结构,平屋顶,0,154,84,160121,194411
50,1460.119005,3,混砖结构,平屋顶,0,52,28,60514,61441
51,3476.577241,4,混砖结构,平屋顶,0,112,56,17072,15405
52,2774.804838,28,混砖结构,平屋顶,0,76,48,73026,83491
53,3513.904995,4,混砖结构,平屋顶,0,102,49,36044,35789
54,1356.443228,4,混砖结构,平屋顶,0,52,30,32559,37961
55,973.2022946,4,混砖结构,平屋顶,0,49,24,23484,22761
56,4478.278559,4,混砖结构,平屋顶,0,178,84,157426,169601
57,2543.27037,4,混砖结构,平屋顶,0,99,51,102094,101326
58,4940.789516,4,混砖结构,平屋顶,0,150,84,155344,153995
59,1694.339657,4,混砖结构,平屋顶,0,28,15,19225,21911
60,1804.879406,4,混砖结构,平屋顶,0,78,35,45257,53194
61,1119.736147,4,混砖结构,平屋顶,0,32,15,39304,43470
62,806.3028299,4,混砖结构,平屋顶,0,228,15,31673,39654
63,1854.897834,4,混砖结构,平屋顶,0,58,30,135837,152108
64,5929.366396,28,混砖结构,坡屋顶,0,,71,253155,264876
65,1148.858022,4,混砖结构,平屋顶,0,42,28,28189,28547
66,225.6429193,108,混砖结构,坡屋顶,0,4,4,22968,22625
67,860.7334283,23,混砖结构,坡屋顶,0,,,20282,19929
68,3558.17546,23,混砖结构,平屋顶,0,102,102,169734,234417
69,1342.787423,9,混砖结构,坡屋顶,0,32,24,54674,55871
70,3265.869912,23,混砖结构,平屋顶,0,100,63,178921,176699
71,4159.413145,28,混砖结构,平屋顶,0,87,60,132337,142714
72,1670.338202,25,混砖结构,坡屋顶,0,,48,38169,40663
73,3167.939587,28,混砖结构,坡屋顶,0,,42,27920,26225
